Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belarus,BLR,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,1.874708141,1.768997117,1.744847124,1.602063116,1.506860229,1.465346015,1.422825668,1.267747695,1.120857309,1.027003611,0.914821339,0.834179499,0.782422091,0.727500195,0.674756991,0.605655159,0.55615048,0.486190029,0.454821003,0.428150628,0.421745369,0.372177285,0.349269833,0.333904705,0.330916913,0.320500897,0.327756786,0.323947797,0.32317476,0.304556151,0.287559217
Belize,BLZ,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.417811892,0.469185857,0.352450169,0.344054082,0.334436563,0.327207649,0.259300312,0.309939529,0.28134631,0.237555293,0.235040523,0.247866048,0.216312016,0.193645123,0.163747759,0.165067703,0.162330794,0.163100221,0.149075499,0.175559637,0.171092501,0.18146655,0.151754603,0.143015556,0.149367294,0.202791384,0.195087427,0.195067297,0.184658354,0.203368472,0.217341115
Bermuda,BMU,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.639155077,0.613273988,0.60649525,0.521757062,0.454985456,0.38430905,0.348924489,0.360362329,0.322382777,0.300471127,0.280499788,0.259954947,0.266591759,0.270987929,0.267703223,0.26183594,0.262773622,0.271925117,0.268804132,0.275386268,0.283127177,0.286767742,0.275999726,0.259501598,0.257806157,0.257957848,0.257791763,0.229391231,0.217442399,0.208477502,0.189820334
Brazil,BRA,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.198419854,0.197242809,0.196158343,0.189118958,0.180808499,0.184264823,0.192545336,0.196266167,0.199788951,0.203093912,0.198282497,0.194733927,0.185120791,0.175565358,0.170875163,0.162089053,0.153039578,0.147572241,0.146013434,0.136078221,0.142172848,0.140810297,0.151484971,0.155348188,0.160524978,0.160989574,0.152113974,0.150953687,0.137883504,0.133967729,0.130369783
Barbados,BRB,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.402115706,0.40301779,0.386787723,0.355054077,0.361275448,0.353220459,0.345540287,0.353434362,0.358563435,0.374591055,0.344719434,0.353632891,0.34250437,0.340605471,0.335013294,0.3236709,0.300883314,0.291130271,0.336117093,0.347493105,0.325389044,0.32870216,0.337610837,0.329581481,0.295914005,0.285717547,0.282345859,0.260348927,0.276078077,0.248585746,0.264050788
Brunei Darussalam,BRN,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.225624586,0.219648026,0.217167435,0.231709983,0.238816968,0.241501331,0.241872882,0.261219874,0.224600883,0.210881263,0.213382004,0.20271543,0.188543961,0.214499519,0.192299332,0.181667261,0.254353718,0.234863166,0.260310726,0.262027725,0.229811478,0.221905763,0.207314013,0.212741552,0.212340158,0.246549181,0.294862253,0.281572533,0.284235431,0.251633189,0.333657386
Bhutan,BTN,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.21200426,0.203032495,0.212938758,0.17605467,0.191004194,0.208774553,0.234100065,0.280704647,0.25950246,0.237673126,0.230988087,0.203381927,0.195749121,0.163414269,0.124598757,0.142024506,0.129437806,0.106805083,0.105992512,0.092638984,0.101624486,0.139122633,0.142051184,0.151306447,0.153621942,0.142494078,0.150775884,0.149053796,0.156180269,0.142953552,0.113541641
Botswana,BWA,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.359703558,0.3154021,0.361386178,0.341277521,0.305615988,0.289637612,0.245683666,0.234432742,0.277185254,0.261172135,0.261785488,0.244728977,0.236652282,0.215658339,0.207375883,0.207240879,0.177208809,0.172392632,0.166585508,0.183747253,0.132784466,0.14023118,0.130036381,0.190526696,0.215636821,0.224643962,0.184465457,0.208432957,0.214630829,0.182733166,0.158242573
Central African Republic,CAF,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.083073996,0.077527203,0.086422774,0.087527392,0.083301338,0.077578695,0.080908539,0.075533739,0.097141963,0.096285517,0.099165774,0.096576881,0.090614893,0.086861775,0.078148367,0.074393179,0.072015201,0.068033003,0.047145193,0.042334941,0.041549574,0.043400843,0.040335059,0.03671573,0.040551677,0.052146614,0.053445223,0.053012161,0.051380161,0.050303278,0.049463278
